currency,model,options,bias_usd,mae_usd,median_ae_usd,rmse_usd,p90_ae_usd
BTC,MR-ISVM surface,700,19.842992044139933,278.1473602049945,119.98885882983467,461.2825867887045,805.191011506315
BTC,Merton,700,-56.30152689822594,328.63760117738855,222.07838576444556,485.533526123009,828.270609371387
BTC,Dynamic jump,700,-133.00002668517996,349.6885703230313,220.50209655755407,527.0126280142612,980.6400710718982
BTC,GARCH variance,700,-744.2806677028606,785.4874571187211,459.86260333970324,1121.6067517643864,2162.514231318989
BTC,Black-Scholes,700,-1297.8094396485608,1339.8872312975373,674.4816736276741,1997.3775483800414,3983.832693255822
BTC,SVCJ proxy,700,1439.7876344500094,1561.8124083296784,925.9456361601306,2314.1465842725456,4434.2179070432
ETH,MR-ISVM surface,482,-0.4676176782143331,13.904333482711811,4.929292271477431,23.573773069936895,40.34633009338661
ETH,Merton,482,-12.020102673120167,15.983065495927324,7.176123404329303,25.520685676643847,46.71991448309924
ETH,Dynamic jump,482,-12.613879762593411,16.428394922613986,7.245094044885954,26.20877389361795,48.64863960922201
ETH,GARCH variance,482,-18.397561358982145,19.261965587705166,7.012392959169922,30.80891682752231,59.186224334810234
ETH,Black-Scholes,482,-39.214008434767344,39.75785266874503,18.56083163579393,60.64351436619068,115.17433237168972
ETH,SVCJ proxy,482,44.66899013829113,48.729913737808545,21.3061686862635,73.70356567362548,142.690731518239
