Currency,Option,Model,Price at 1pct USD,Price at 5pct USD,Rate sensitivity USD,Rate sensitivity pct
BTC,call,Black-Scholes,2449.7509621629433,2575.0693131751977,125.31835101225442,0.05115554721595369
BTC,call,Merton,3690.3972412084963,3823.5181441614,133.12090295290363,0.0360722421603888
BTC,call,SVCJ proxy,3750.354997719617,3882.853395145994,132.49839742637687,0.03532956147003198
BTC,call,MR-ISVM surface,3114.7278649973086,3238.276243708664,123.54837871135533,0.03966586619003458
BTC,call,Dynamic jump,3549.234756110283,3681.5354428551623,132.30068674487939,0.03727583432375486
BTC,call,GARCH variance,2880.249005471618,3004.3853323631265,124.13632689150836,0.043099164917924176
BTC,put,Black-Scholes,2386.5528212152276,2259.5970507345046,-126.955770480723,-0.053196296076982445
BTC,put,Merton,3627.199098640473,3508.0458801160726,-119.15321852440047,-0.03284992504796906
BTC,put,SVCJ proxy,3687.1568551515975,3567.381131100668,-119.77572405092951,-0.03248457517709941
BTC,put,MR-ISVM surface,3416.152624582057,3286.5675036644243,-129.5851209176326,-0.03793305954340563
BTC,put,Dynamic jump,3486.0366137724245,3366.0631790386574,-119.97343473376714,-0.03441542589076181
BTC,put,GARCH variance,2817.0508645239097,2688.9130699224334,-128.13779460147634,-0.04548650371037302
ETH,call,Black-Scholes,107.37410836779122,110.72512808976285,3.3510197219716247,0.031208824668357598
ETH,call,Merton,131.53733721599212,135.0041340983093,3.466796882317169,0.026355991049328318
ETH,call,SVCJ proxy,142.13916224060554,145.54851760313466,3.409355362529112,0.023986038110720947
ETH,call,MR-ISVM surface,105.23320604232606,108.58884917265596,3.355643130329895,0.031887683142336413
ETH,call,Dynamic jump,130.55929087255092,134.0061831737601,3.446892301209175,0.026400972907963744
ETH,call,GARCH variance,125.77311556597647,129.0859711712743,3.312855605297841,0.026339934336444302
ETH,put,Black-Scholes,105.6347406494441,102.04255830061038,-3.592182348833717,-0.03400569099473262
ETH,put,Merton,129.79796943883846,126.32156425078156,-3.4764051880569014,-0.026783201640877774
ETH,put,SVCJ proxy,140.3997944634518,136.8659477556069,-3.5338467078449014,-0.02516988519356284
ETH,put,MR-ISVM surface,114.24904649236043,110.63867854105365,-3.6103679513067846,-0.031600858494238736
ETH,put,Dynamic jump,128.81992312554604,125.32361335616494,-3.4963097693810994,-0.027141063932895275
ETH,put,GARCH variance,124.03374784762923,120.4034013821215,-3.6303464655077278,-0.029269021766297598
